Mindmap category,,,,,,,,,Bottom Up,Technology Offerings,Categories,Blips,URL,A/D,O,Research,WA,WA Combined,A/B,DOT,BS,Capacity,Sean,S1,Diptesh,D1,Sudip,S2,Darach,D2,Abhishek,A1,India DoT,Naresh,N1,Dixit 
,,,,,,,,,Presentation layer,Next Generation Platform,Languages and Frameworks,AngularJS,https://vox.sapient.com/docs/DOC-118734?sr=stream,A,,,4,Maintain,Invest,In,50,0,,,,,,,,,Maintain,4,,,,
Tech Stack,Layers,Presentation,Web,Application Integration Frameworks,MV* (Model-View),AngularJS,Testing,Protractor,Presentation layer,Other,Tools,Protractor ,https://vox.sapient.com/docs/DOC-118515,,EU,TW-Jul14-Trial,1.833333333,Watch,Invest,Static,50,0,Maintain,4,Invest,3,No Opinion ,0,No Opinion ,0,Watch,2,,Watch,2,
,,,,,,,,,Presentation layer,Next Generation Platform,Languages and Frameworks,JavaScript,https://vox.sapient.com/docs/DOC-118415?sr=stream,,EU,,#DIV/0!,#DIV/0!,Maintain,In,81,81,,,,,,,,,,,,,,
Tech Stack,Layers,Presentation,Web,Application Integration Frameworks,MV* (Model-View),Backbone.js,,,Presentation layer,Next Generation Platform,Languages and Frameworks,Backbone.js,https://vox.sapient.com/docs/DOC-118415?sr=stream,,EU,TW-May13-Assess,2,Watch,Maintain,Out,50,0,Hold,1,Invest,3,No Opinion ,0,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Layers,Presentation,Web,Application Integration Frameworks,MV* (Model-View),Ember,,,Presentation layer,Other,Languages and Frameworks,EmberJS,https://vox.sapient.com/docs/DOC-118417?sr=stream,,EU,,2,Watch,Exit,Static,50,0,Maintain,4,Maintain,4,No Opinion ,0,Watch,2,Hold,1,,Hold,1,
Tech Stack,Layers,Presentation,Web,Application Integration Frameworks,MV* (Model-View),Windows Presentation Foundation (WPF),,,Presentation layer,Other,Languages and Frameworks,Windows Presentation Foundation (WPF),https://vox.sapient.com/docs/DOC-118359?sr=stream,,EU,,1.833333333,Watch,Maintain,Out,50,0,Watch,2,Hold,1,No Opinion ,0,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Layers,Presentation,Web,Application Integration Frameworks,MV* (Model-View),Knockout,,,Presentation layer,Other,Languages and Frameworks,Knockout,https://vox.sapient.com/docs/DOC-118416?sr=stream,,EU,TW-Oct12-Trial ,1.166666667,Hold,Watch,In,50,0,Watch,2,Watch,2,No Opinion ,0,No Opinion ,0,Watch,2,,Hold,1,
Tech Stack,Layers,Presentation,Web,Application Integration Frameworks,MV* (Model-View),Kendo UI,,,Presentation layer,Other,Languages and Frameworks,Kendo UI,https://vox.sapient.com/docs/DOC-118360?sr=stream,,EU,,1.166666667,Hold,Watch,Out,50,0,Watch,2,Hold,1,No Opinion ,0,No Opinion ,0,Watch,2,,Watch,2,
Tech Stack,Layers,Presentation,Web,Application Integration Frameworks,MV* (Model-View),ExtJS,,,Presentation layer,Other,Languages and Frameworks,Sencha/ExtJS,https://vox.sapient.com/docs/DOC-118422?sr=stream,,EU,,0.833333333,Hold,Watch,Static,50,0,Hold,1,Hold,1,No Opinion ,0,Hold,1,Hold,1,,Hold,1,
Tech Stack,Layers,Presentation,Web,Clients,Rich,Flash/Flex,,,Presentation layer,Next Generation Platform,Languages and Frameworks,Flash/Flex,https://vox.sapient.com/docs/DOC-118496,,EU,,1,Hold,Exit,Out,50,0,Hold,1,Hold,1,Hold,1,Hold,1,Hold,1,,Hold,1,
Tech Stack,Layers,Presentation,Web,Clients,Rich,Silverlight,,,Presentation layer,Next Generation Platform,Languages and Frameworks,Silverlight,https://vox.sapient.com/docs/DOC-118497,,EU,,3,Invest,Exit,Out,50,0,Maintain,4,Maintain,4,Maintain,4,Maintain,4,Hold,1,,Hold,1,
